run,benchmark,params,mfics,maxmficsize,process,step,initTests,askedTests,benCycles,totalTests,time,precision,recall,f,isomfics,ft,lastTest
6,ART2,3,2,2,MIX,8,8,0,0,8,2,1,1,1,"[{a=true, b=true}, {b=false, c=true}]","[{a=true, c=true}]","[{a=false, b=true, c=false}]"
7,ART2,3,2,2,MIX,8,8,0,0,8,17,1,1,1,"[{a=true, b=true}, {b=false, c=true}]","[{a=true, c=true}]","[{a=true, b=true, c=false}]"
8,ART2,3,2,2,MIX,8,8,0,0,8,6,1,1,1,"[{a=true, b=true}, {b=false, c=true}]","[{a=true, c=true}]","[{a=false, b=true, c=true}]"
9,ART2,3,2,2,MIX,8,8,0,0,8,3,1,1,1,"[{a=true, b=true}, {b=false, c=true}]","[{a=true, c=true}]","[{a=true, b=false, c=false}]"
10,ART2,3,2,2,MIX,8,8,0,0,8,2,1,1,1,"[{a=true, b=true}, {b=false, c=true}]","[{a=true, c=true}]","[{a=false, b=true, c=true}]"
1,ART3,3,2,2,MIX,8,8,0,0,8,5,1,1,1,"[{a=true}, {b=false, c=true}]","[{a=true, c=true}, {a=true, b=false}, {a=true, b=true}, {a=true, c=false}]","[{a=false, b=true, c=false}]"
2,ART3,3,2,2,MIX,7,7,0,0,7,2,1,1,1,"[{a=true}, {b=false, c=true}]","[{a=true, c=true}, {a=true, b=false}, {a=true, b=true}, {a=true, c=false}]","[{a=false, b=false, c=true}]"
3,ART3,3,2,2,MIX,7,7,0,0,7,1,1,1,1,"[{a=true}, {b=false, c=true}]","[{a=true, c=true}, {a=true, b=false}, {a=true, b=true}, {a=true, c=false}]","[{a=false, b=false, c=true}]"
4,ART3,3,2,2,MIX,8,8,0,0,8,2,1,1,1,"[{a=true}, {b=false, c=true}]","[{a=true, c=true}, {a=true, b=false}, {a=true, b=true}, {a=true, c=false}]","[{a=true, b=false, c=false}]"
5,ART3,3,2,2,MIX,7,7,0,0,7,1,1,1,1,"[{a=true}, {b=false, c=true}]","[{a=true, c=true}, {a=true, b=false}, {a=true, b=true}, {a=true, c=false}]","[{a=false, b=true, c=true}]"
6,ART3,3,2,2,MIX,8,8,0,0,8,6,1,1,1,"[{a=true}, {b=false, c=true}]","[{a=true, c=true}, {a=true, b=false}, {a=true, b=true}, {a=true, c=false}]","[{a=false, b=true, c=false}]"
7,ART3,3,2,2,MIX,8,8,0,0,8,4,1,1,1,"[{a=true}, {b=false, c=true}]","[{a=true, c=true}, {a=true, b=false}, {a=true, b=true}, {a=true, c=false}]","[{a=false, b=false, c=false}]"
8,ART3,3,2,2,MIX,8,8,0,0,8,3,1,1,1,"[{a=true}, {b=false, c=true}]","[{a=true, c=true}, {a=true, b=false}, {a=true, b=true}, {a=true, c=false}]","[{a=false, b=true, c=false}]"
9,ART3,3,2,2,MIX,8,8,0,0,8,1,1,1,1,"[{a=true}, {b=false, c=true}]","[{a=true, c=true}, {a=true, b=false}, {a=true, b=true}, {a=true, c=false}]","[{a=true, b=false, c=false}]"
10,ART3,3,2,2,MIX,7,7,0,0,7,2,1,1,1,"[{a=true}, {b=false, c=true}]","[{a=true, c=true}, {a=true, b=false}, {a=true, b=true}, {a=true, c=false}]","[{a=false, b=true, c=false}]"
1,ART4,7,2,3,MIX,34,34,0,0,34,81,1,1,1,"[{a=true, b=true}, {c=false, d=true, e=true}]","[{a=true, b=true, f=true}, {a=true, b=true, c=false}, {a=true, b=true, e=true}, {a=true, b=true, d=true}, {a=true, b=true, g=false}, {a=true, b=true, g=true}, {a=true, b=true, f=false}, {a=true, b=true, e=false}, {a=true, b=true, d=false}, {a=true, b=true, c=true}]","[{a=false, b=true, c=true, d=true, e=true, f=true, g=true}]"
